STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,TRACTCE,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,nbhd_id,nbhd_name,notes,typology
8,31,4404,8031004404,004404,44.04,Census Tract 44.04,G5020,S,1304214,0,+39.7365094,-104.8940558,24,East Colfax,,
8,31,4403,8031004403,004403,44.03,Census Tract 44.03,G5020,S,1465381,0,+39.7443925,-104.8948131,24,East Colfax,,
8,31,4304,8031004304,004304,43.04,Census Tract 43.04,G5020,S,2622262,0,+39.7328580,-104.9129517,46,Montclair,,
8,31,4302,8031004302,004302,43.02,Census Tract 43.02,G5020,S,1104053,0,+39.7329350,-104.9264364,31,Hale,,
8,31,4202,8031004202,004202,42.02,Census Tract 42.02,G5020,S,1952596,0,+39.7455989,-104.9128777,57,South Park Hill,,
8,31,4104,8031004104,004104,41.04,Census Tract 41.04,G5020,S,1963411,0,+39.7565128,-104.9128475,48,North Park Hill,,
8,31,4301,8031004301,004301,43.01,Census Tract 43.01,G5020,S,1416352,0,+39.7328878,-104.9355569,31,Hale,,
8,31,4201,8031004201,004201,42.01,Census Tract 42.01,G5020,S,1907905,0,+39.7455927,-104.9314568,57,South Park Hill,,
8,31,3703,8031003703,003703,37.03,Census Tract 37.03,G5020,S,676428,0,+39.7361186,-104.945076,20,Congress Park,,
8,31,3300,8031003300,003300,33,Census Tract 33,G5020,S,1283520,0,+39.7291084,-104.9508277,20,Congress Park,,
8,31,4103,8031004103,004103,41.03,Census Tract 41.03,G5020,S,1907150,0,+39.7565244,-104.9314449,48,North Park Hill,,
8,31,3702,8031003702,003702,37.02,Census Tract 37.02,G5020,S,706200,0,+39.7365218,-104.9543646,20,Congress Park,,
8,31,3202,8031003202,003202,32.02,Census Tract 32.02,G5020,S,507995,0,+39.7345677,-104.9623127,12,Cheesman Park,,
8,31,3701,8031003701,003701,37.01,Census Tract 37.01,G5020,S,1869942,119984,+39.7447172,-104.9503592,14,City Park,,
8,31,3201,8031003201,003201,32.01,Census Tract 32.01,G5020,S,856096,0,+39.7345851,-104.9688689,12,Cheesman Park,,
8,31,2703,8031002703,002703,27.03,Census Tract 27.03,G5020,S,522372,0,+39.7360299,-104.9764383,9,Capitol Hill,,
8,31,3102,8031003102,003102,31.02,Census Tract 31.02,G5020,S,854941,0,+39.7433241,-104.9664844,15,City Park West,,
8,31,3101,8031003101,003101,31.01,Census Tract 31.01,G5020,S,509700,0,+39.7487181,-104.9664548,15,City Park West,,
8,31,2402,8031002402,002402,24.02,Census Tract 24.02,G5020,S,432251,0,+39.7498961,-104.9754588,26,Five Points,Focus Neighborhood,
8,31,2602,8031002602,002602,26.02,Census Tract 26.02,G5020,S,393281,0,+39.7433380,-104.9771526,47,North Capitol Hill,,
8,31,3603,8031003603,003603,36.03,Census Tract 36.03,G5020,S,1977113,0,+39.7565086,-104.9502463,55,Skyland,Focus Neighborhood,
8,31,2300,8031002300,002300,23,Census Tract 23,G5020,S,1459623,0,+39.7563582,-104.9665642,77,Whittier,Focus Neighborhood,
8,31,2702,8031002702,002702,27.02,Census Tract 27.02,G5020,S,655500,0,+39.7296535,-104.9801748,9,Capitol Hill,,
8,31,2701,8031002701,002701,27.01,Census Tract 27.01,G5020,S,574095,0,+39.7360351,-104.9836454,9,Capitol Hill,,
8,31,2601,8031002601,002601,26.01,Census Tract 26.01,G5020,S,519881,0,+39.7437081,-104.983728,47,North Capitol Hill,,
8,31,2403,8031002403,002403,24.03,Census Tract 24.03,G5020,S,940445,0,+39.7533693,-104.9801677,26,Five Points,Focus Neighborhood,
8,31,2000,8031002000,002000,20,Census Tract 20,G5020,S,787300,0,+39.7353735,-104.991197,16,Civic Center,,
8,31,1800,8031001800,001800,18,Census Tract 18,G5020,S,974951,0,+39.7309638,-104.9958416,41,Lincoln Park,Focus Neighborhood,
8,31,1701,8031001701,001701,17.01,Census Tract 17.01,G5020,S,1138894,0,+39.7534351,-105.0004473,63,Union Station,,
8,31,1600,8031001600,001600,16,Census Tract 16,G5020,S,3199055,0,+39.7619905,-104.9852907,26,Five Points,Focus Neighborhood,
8,31,800,8031000800,000800,8,Census Tract 8,G5020,S,1658722,0,+39.7358080,-105.021085,61,Sun Valley,Focus Neighborhood,
8,31,701,8031000701,000701,7.01,Census Tract 7.01,G5020,S,1198404,0,+39.7394310,-105.0461516,74,West Colfax,,
8,31,502,8031000502,000502,5.02,Census Tract 5.02,G5020,S,1593902,0,+39.7525265,-105.0321855,56,Sloan Lake,,
8,31,501,8031000501,000501,5.01,Census Tract 5.01,G5020,S,1313712,716675,+39.7524826,-105.0501134,56,Sloan Lake,,
8,31,4405,8031004405,004405,44.05,Census Tract 44.05,G5020,S,5971932,0,+39.7197954,-104.8889142,42,Lowry Field,,
8,31,4106,8031004106,004106,41.06,Census Tract 41.06,G5020,S,14537662,31835,+39.7771948,-104.8701568,60,Stapleton,,
8,31,1901,8031001901,001901,19.01,Census Tract 19.01,G5020,S,2335000,0,+39.7331811,-105.0086293,41,Lincoln Park,Focus Neighborhood,
8,31,905,8031000905,000905,9.05,Census Tract 9.05,G5020,S,1312793,0,+39.7304639,-105.0320201,68,Villa Park,Focus Neighborhood,
8,31,702,8031000702,000702,7.02,Census Tract 7.02,G5020,S,1408010,0,+39.7405543,-105.032179,74,West Colfax,,
8,31,4306,8031004306,004306,43.06,Census Tract 43.06,G5020,S,2557985,0,+39.7185505,-104.912997,42,Lowry Field,,
8,31,4107,8031004107,004107,41.07,Census Tract 41.07,G5020,S,8508419,1095,+39.7752766,-104.8891181,60,Stapleton,,
8,31,600,8031000600,000600,6,Census Tract 6,G5020,S,1271782,0,+39.7521920,-105.0192314,39,Jefferson Park,Focus Neighborhood,
8,31,1702,8031001702,001702,17.02,Census Tract 17.02,G5020,S,1116481,0,+39.7451210,-104.9931602,10,CBD,,
8,31,1902,8031001902,001902,19.02,Census Tract 19.02,G5020,S,1678364,0,+39.7458064,-105.0083037,2,Auraria,,
8,31,904,8031000904,000904,9.04,Census Tract 9.04,G5020,S,1241250,0,+39.7304599,-105.0466718,68,Villa Park,Focus Neighborhood,
