"NAME","B03002_003E","B03002_001E","state","county","tract"
"Census Tract 45.03, Denver County, Colorado","445","4813","08","031","004503"
"Census Tract 19.01, Denver County, Colorado","687","2491","08","031","001901"
"Census Tract 19.02, Denver County, Colorado","230","484","08","031","001902"
"Census Tract 41.06, Denver County, Colorado","7057","10137","08","031","004106"
"Census Tract 41.07, Denver County, Colorado","2592","3541","08","031","004107"
"Census Tract 45.04, Denver County, Colorado","587","3593","08","031","004504"
"Census Tract 45.05, Denver County, Colorado","696","4577","08","031","004505"
"Census Tract 45.06, Denver County, Colorado","151","3321","08","031","004506"
"Census Tract 120.10, Denver County, Colorado","3662","4717","08","031","012010"
"Census Tract 35, Denver County, Colorado","665","6853","08","031","003500"
"Census Tract 3.02, Denver County, Colorado","3100","4074","08","031","000302"
"Census Tract 30.04, Denver County, Colorado","4722","5695","08","031","003004"
"Census Tract 31.01, Denver County, Colorado","964","1450","08","031","003101"
"Census Tract 33, Denver County, Colorado","3009","3352","08","031","003300"
"Census Tract 41.03, Denver County, Colorado","2647","5074","08","031","004103"
"Census Tract 120.14, Denver County, Colorado","4584","6260","08","031","012014"
"Census Tract 29.01, Denver County, Colorado","2215","2900","08","031","002901"
"Census Tract 30.01, Denver County, Colorado","4860","5632","08","031","003001"
"Census Tract 30.03, Denver County, Colorado","2810","3372","08","031","003003"
"Census Tract 37.03, Denver County, Colorado","1852","2480","08","031","003703"
"Census Tract 44.03, Denver County, Colorado","1705","3937","08","031","004403"
"Census Tract 51.04, Denver County, Colorado","1808","2691","08","031","005104"
"Census Tract 52, Denver County, Colorado","2439","3081","08","031","005200"
"Census Tract 68.12, Denver County, Colorado","2346","2811","08","031","006812"
"Census Tract 83.06, Denver County, Colorado","291","6220","08","031","008306"
"Census Tract 119.03, Denver County, Colorado","1240","2279","08","031","011903"
"Census Tract 3.01, Denver County, Colorado","3474","5035","08","031","000301"
"Census Tract 10, Denver County, Colorado","558","3675","08","031","001000"
"Census Tract 14.03, Denver County, Colorado","1234","2220","08","031","001403"
"Census Tract 15, Denver County, Colorado","655","3393","08","031","001500"
"Census Tract 17.01, Denver County, Colorado","3869","4497","08","031","001701"
"Census Tract 29.02, Denver County, Colorado","3630","3975","08","031","002902"
"Census Tract 41.01, Denver County, Colorado","554","4199","08","031","004101"
"Census Tract 46.01, Denver County, Colorado","1825","6213","08","031","004601"
"Census Tract 68.10, Denver County, Colorado","3410","5037","08","031","006810"
"Census Tract 68.11, Denver County, Colorado","4301","5813","08","031","006811"
"Census Tract 5.01, Denver County, Colorado","1564","2033","08","031","000501"
"Census Tract 11.02, Denver County, Colorado","1603","3042","08","031","001102"
"Census Tract 16, Denver County, Colorado","5179","7537","08","031","001600"
"Census Tract 23, Denver County, Colorado","2252","4951","08","031","002300"
"Census Tract 32.03, Denver County, Colorado","2478","3064","08","031","003203"
"Census Tract 43.01, Denver County, Colorado","2741","4135","08","031","004301"
"Census Tract 50.02, Denver County, Colorado","4213","6886","08","031","005002"
"Census Tract 53, Denver County, Colorado","891","1370","08","031","005300"
"Census Tract 69.01, Denver County, Colorado","2892","5116","08","031","006901"
"Census Tract 70.13, Denver County, Colorado","2232","3181","08","031","007013"
"Census Tract 83.05, Denver County, Colorado","455","3818","08","031","008305"
"Census Tract 28.02, Denver County, Colorado","3432","4251","08","031","002802"
"Census Tract 41.04, Denver County, Colorado","1331","4083","08","031","004104"
"Census Tract 68.04, Denver County, Colorado","1750","1961","08","031","006804"
