B25071_001E,tract,TRACTCE,nbhd_name
31.4,001901,001901,"Lincoln Park"
18.3,001902,001902,Auraria
23.2,004106,004106,Stapleton
35.3,004107,004107,Stapleton
29.0,003101,003101,"City Park West"
22.8,003300,003300,"Congress Park"
40.0,004103,004103,"North Park Hill"
30.7,003703,003703,"Congress Park"
30.5,004403,004403,"East Colfax"
26.4,001701,001701,"Union Station"
29.2,000501,000501,"Sloan Lake"
24.7,001600,001600,"Five Points"
28.0,002300,002300,Whittier
26.3,004301,004301,Hale
34.1,004104,004104,"North Park Hill"
32.2,000701,000701,"West Colfax"
29.9,003102,003102,"City Park West"
28.5,002403,002403,"Five Points"
29.4,000702,000702,"West Colfax"
25.7,002702,002702,"Capitol Hill"
33.9,001702,001702,CBD
28.8,001800,001800,"Lincoln Park"
26.6,002703,002703,"Capitol Hill"
27.4,002601,002601,"North Capitol Hill"
32.0,000600,000600,"Jefferson Park"
25.5,000800,000800,"Sun Valley"
26.7,003701,003701,"City Park"
28.4,003702,003702,"Congress Park"
31.4,004304,004304,Montclair
28.5,002602,002602,"North Capitol Hill"
30.5,002701,002701,"Capitol Hill"
27.9,000502,000502,"Sloan Lake"
27.4,002402,002402,"Five Points"
29.6,003603,003603,Skyland
28.9,000904,000904,"Villa Park"
38.4,000905,000905,"Villa Park"
32.4,002000,002000,"Civic Center"
24.7,003202,003202,"Cheesman Park"
26.7,003201,003201,"Cheesman Park"
24.2,004201,004201,"South Park Hill"
42.2,004202,004202,"South Park Hill"
26.0,004306,004306,"Lowry Field"
35.0,004404,004404,"East Colfax"
29.7,004405,004405,"Lowry Field"
24.0,004302,004302,Hale
