B15003_022E,B15002_001E,tract,TRACTCE,nbhd_name
1203,2915,003701,003701,"City Park"
1842,4178,003702,003702,"Congress Park"
1715,4569,004304,004304,Montclair
833,2649,000600,000600,"Jefferson Park"
8,520,000800,000800,"Sun Valley"
1404,2994,001702,001702,CBD
723,2567,001800,001800,"Lincoln Park"
1938,4305,002703,002703,"Capitol Hill"
1087,2883,002601,002601,"North Capitol Hill"
1086,2418,002602,002602,"North Capitol Hill"
1857,4340,002701,002701,"Capitol Hill"
2005,4908,003201,003201,"Cheesman Park"
1084,3508,004201,004201,"South Park Hill"
1037,3177,004202,004202,"South Park Hill"
1565,3891,004306,004306,"Lowry Field"
784,4072,004404,004404,"East Colfax"
2323,6273,004405,004405,"Lowry Field"
478,1303,003101,003101,"City Park West"
1432,4516,000502,000502,"Sloan Lake"
479,1529,002402,002402,"Five Points"
831,2583,003603,003603,Skyland
274,3194,000904,000904,"Villa Park"
590,2843,000905,000905,"Villa Park"
707,1821,002000,002000,"Civic Center"
1100,3068,003202,003202,"Cheesman Park"
710,1964,004302,004302,Hale
1068,2739,003300,003300,"Congress Park"
1437,3966,004103,004103,"North Park Hill"
1389,3945,004301,004301,Hale
1174,3804,004104,004104,"North Park Hill"
536,3321,000701,000701,"West Colfax"
1053,2900,003102,003102,"City Park West"
953,2973,002403,002403,"Five Points"
598,3114,000702,000702,"West Colfax"
2451,5219,002702,002702,"Capitol Hill"
1075,2487,003703,003703,"Congress Park"
794,3260,004403,004403,"East Colfax"
2116,5389,001701,001701,"Union Station"
537,1644,000501,000501,"Sloan Lake"
3513,8349,001600,001600,"Five Points"
1469,4145,002300,002300,Whittier
