"NAME","B19013_001E","state","county","tract"
"Census Tract 36.01, Denver County, Colorado","48700","08","031","003601"
"Census Tract 37.01, Denver County, Colorado","54861","08","031","003701"
"Census Tract 37.02, Denver County, Colorado","49375","08","031","003702"
"Census Tract 43.04, Denver County, Colorado","94861","08","031","004304"
"Census Tract 50.01, Denver County, Colorado","65762","08","031","005001"
"Census Tract 55.03, Denver County, Colorado","69302","08","031","005503"
"Census Tract 68.14, Denver County, Colorado","52150","08","031","006814"
"Census Tract 70.06, Denver County, Colorado","36464","08","031","007006"
"Census Tract 83.04, Denver County, Colorado","48468","08","031","008304"
"Census Tract 45.03, Denver County, Colorado","38493","08","031","004503"
"Census Tract 45.04, Denver County, Colorado","41800","08","031","004504"
"Census Tract 45.05, Denver County, Colorado","24891","08","031","004505"
"Census Tract 45.06, Denver County, Colorado","35355","08","031","004506"
"Census Tract 83.86, Denver County, Colorado","59832","08","031","008386"
"Census Tract 83.87, Denver County, Colorado","63383","08","031","008387"
"Census Tract 83.88, Denver County, Colorado","60824","08","031","008388"
"Census Tract 83.89, Denver County, Colorado","80917","08","031","008389"
"Census Tract 83.90, Denver County, Colorado","64545","08","031","008390"
"Census Tract 83.91, Denver County, Colorado","67768","08","031","008391"
"Census Tract 153, Denver County, Colorado","49333","08","031","015300"
"Census Tract 154, Denver County, Colorado","68342","08","031","015400"
"Census Tract 155, Denver County, Colorado","49918","08","031","015500"
"Census Tract 156, Denver County, Colorado","34565","08","031","015600"
"Census Tract 19.01, Denver County, Colorado","26224","08","031","001901"
"Census Tract 19.02, Denver County, Colorado","-666666666","08","031","001902"
"Census Tract 9.02, Denver County, Colorado","55871","08","031","000902"
"Census Tract 2.01, Denver County, Colorado","52031","08","031","000201"
"Census Tract 6, Denver County, Colorado","50682","08","031","000600"
"Census Tract 8, Denver County, Colorado","9578","08","031","000800"
"Census Tract 9.03, Denver County, Colorado","42719","08","031","000903"
"Census Tract 11.01, Denver County, Colorado","49602","08","031","001101"
"Census Tract 13.01, Denver County, Colorado","54911","08","031","001301"
"Census Tract 13.02, Denver County, Colorado","43478","08","031","001302"
"Census Tract 14.02, Denver County, Colorado","42944","08","031","001402"
"Census Tract 17.02, Denver County, Colorado","64709","08","031","001702"
"Census Tract 18, Denver County, Colorado","47576","08","031","001800"
"Census Tract 21, Denver County, Colorado","67996","08","031","002100"
