B19013_001E,tract,TRACTCE,nbhd_name
54861,003701,003701,"City Park"
49375,003702,003702,"Congress Park"
94861,004304,004304,Montclair
26224,001901,001901,"Lincoln Park"
-666666666,001902,001902,Auraria
50682,000600,000600,"Jefferson Park"
9578,000800,000800,"Sun Valley"
64709,001702,001702,CBD
47576,001800,001800,"Lincoln Park"
41260,002703,002703,"Capitol Hill"
48153,002601,002601,"North Capitol Hill"
77500,002602,002602,"North Capitol Hill"
38193,002701,002701,"Capitol Hill"
61364,003201,003201,"Cheesman Park"
103167,004201,004201,"South Park Hill"
108242,004202,004202,"South Park Hill"
102808,004306,004306,"Lowry Field"
35771,004404,004404,"East Colfax"
82048,004405,004405,"Lowry Field"
57750,003101,003101,"City Park West"
52042,000502,000502,"Sloan Lake"
72031,002402,002402,"Five Points"
67375,003603,003603,Skyland
25039,000904,000904,"Villa Park"
55101,000905,000905,"Villa Park"
79365,002000,002000,"Civic Center"
58575,003202,003202,"Cheesman Park"
85286,004302,004302,Hale
126500,003300,003300,"Congress Park"
113250,004103,004103,"North Park Hill"
46121,004301,004301,Hale
79117,004104,004104,"North Park Hill"
30610,000701,000701,"West Colfax"
43720,003102,003102,"City Park West"
43447,002403,002403,"Five Points"
25091,000702,000702,"West Colfax"
56434,002702,002702,"Capitol Hill"
62061,003703,003703,"Congress Park"
52963,004403,004403,"East Colfax"
95921,001701,001701,"Union Station"
108152,000501,000501,"Sloan Lake"
74471,001600,001600,"Five Points"
74611,002300,002300,Whittier
142083,004106,004106,Stapleton
112039,004107,004107,Stapleton
