"NAME","B15003_022E","B15002_001E","state","county","tract"
"Census Tract 1.02 Denver County Colorado","1286","2937","08","031","000102"
"Census Tract 2.01 Denver County Colorado","917","2878","08","031","000201"
"Census Tract 2.02 Denver County Colorado","951","3072","08","031","000202"
"Census Tract 3.01 Denver County Colorado","1970","4239","08","031","000301"
"Census Tract 3.02 Denver County Colorado","1462","4041","08","031","000302"
"Census Tract 3.03 Denver County Colorado","1628","4375","08","031","000303"
"Census Tract 4.01 Denver County Colorado","973","2819","08","031","000401"
"Census Tract 4.03 Denver County Colorado","1232","3134","08","031","000403"
"Census Tract 4.04 Denver County Colorado","1218","2185","08","031","000404"
"Census Tract 5.01 Denver County Colorado","539","1527","08","031","000501"
"Census Tract 5.03 Denver County Colorado","441","1843","08","031","000503"
"Census Tract 5.04 Denver County Colorado","1212","2718","08","031","000504"
"Census Tract 6 Denver County Colorado","2130","3812","08","031","000600"
"Census Tract 7.03 Denver County Colorado","788","2065","08","031","000703"
"Census Tract 7.04 Denver County Colorado","1022","2250","08","031","000704"
"Census Tract 7.05 Denver County Colorado","634","2037","08","031","000705"
"Census Tract 7.06 Denver County Colorado","1097","2419","08","031","000706"
"Census Tract 8 Denver County Colorado","38","505","08","031","000800"
"Census Tract 9.02 Denver County Colorado","548","3787","08","031","000902"
"Census Tract 9.03 Denver County Colorado","582","3694","08","031","000903"
"Census Tract 9.04 Denver County Colorado","388","3005","08","031","000904"
"Census Tract 9.05 Denver County Colorado","832","2381","08","031","000905"
"Census Tract 10 Denver County Colorado","401","2596","08","031","001000"
"Census Tract 11.01 Denver County Colorado","846","2248","08","031","001101"
"Census Tract 11.02 Denver County Colorado","2477","4129","08","031","001102"
"Census Tract 13.01 Denver County Colorado","369","3317","08","031","001301"
"Census Tract 13.02 Denver County Colorado","506","2528","08","031","001302"
"Census Tract 14.01 Denver County Colorado","586","3794","08","031","001401"
"Census Tract 14.02 Denver County Colorado","611","3114","08","031","001402"
"Census Tract 14.03 Denver County Colorado","1189","2712","08","031","001403"
"Census Tract 15 Denver County Colorado","412","2602","08","031","001500"
"Census Tract 16.01 Denver County Colorado","1898","2800","08","031","001601"
"Census Tract 16.02 Denver County Colorado","2181","3825","08","031","001602"
"Census Tract 16.03 Denver County Colorado","2225","5150","08","031","001603"
"Census Tract 17.03 Denver County Colorado","1658","2824","08","031","001703"
"Census Tract 17.04 Denver County Colorado","946","2444","08","031","001704"
"Census Tract 17.05 Denver County Colorado","1542","2801","08","031","001705"
"Census Tract 17.06 Denver County Colorado","739","2194","08","031","001706"
"Census Tract 17.07 Denver County Colorado","511","1295","08","031","001707"
"Census Tract 18 Denver County Colorado","1073","2744","08","031","001800"
"Census Tract 19.01 Denver County Colorado","506","2602","08","031","001901"
"Census Tract 20 Denver County Colorado","1417","3152","08","031","002000"
"Census Tract 21.01 Denver County Colorado","1064","2653","08","031","002101"
"Census Tract 21.02 Denver County Colorado","1175","2533","08","031","002102"
"Census Tract 23 Denver County Colorado","1365","3367","08","031","002300"
"Census Tract 24.02 Denver County Colorado","442","1413","08","031","002402"
"Census Tract 24.04 Denver County Colorado","332","1251","08","031","002404"
"Census Tract 24.05 Denver County Colorado","1493","3537","08","031","002405"
"Census Tract 26.02 Denver County Colorado","1232","2582","08","031","002602"
"Census Tract 26.03 Denver County Colorado","1315","2512","08","031","002603"
"Census Tract 26.04 Denver County Colorado","606","1768","08","031","002604"
"Census Tract 27.04 Denver County Colorado","737","1870","08","031","002704"
"Census Tract 27.05 Denver County Colorado","1221","2464","08","031","002705"
"Census Tract 27.06 Denver County Colorado","1144","3011","08","031","002706"
"Census Tract 27.07 Denver County Colorado","1535","3122","08","031","002707"
"Census Tract 27.08 Denver County Colorado","957","2337","08","031","002708"
"Census Tract 27.09 Denver County Colorado","761","2099","08","031","002709"
"Census Tract 28.01 Denver County Colorado","1256","2554","08","031","002801"
"Census Tract 28.02 Denver County Colorado","2086","3924","08","031","002802"
"Census Tract 28.04 Denver County Colorado","838","1606","08","031","002804"
"Census Tract 28.05 Denver County Colorado","1494","2729","08","031","002805"
"Census Tract 29.01 Denver County Colorado","1518","3059","08","031","002901"
"Census Tract 29.02 Denver County Colorado","1734","3278","08","031","002902"
"Census Tract 30.02 Denver County Colorado","811","2269","08","031","003002"
"Census Tract 30.03 Denver County Colorado","346","1477","08","031","003003"
"Census Tract 30.04 Denver County Colorado","1424","3904","08","031","003004"
"Census Tract 30.05 Denver County Colorado","1189","2436","08","031","003005"
"Census Tract 30.06 Denver County Colorado","1184","2795","08","031","003006"
"Census Tract 31.01 Denver County Colorado","375","1188","08","031","003101"
