B03002_003E,B03002_001E,tract,TRACTCE,nbhd_name
1512,1886,000501,000501,"Sloan Lake"
1957,2521,000503,000503,"Sloan Lake"
2690,3444,000504,000504,"Sloan Lake"
2664,4496,000600,000600,"Jefferson Park"
1283,2372,000703,000703,"West Colfax"
2688,3439,000704,000704,"West Colfax"
1225,2515,000705,000705,"West Colfax"
1416,2818,000706,000706,"West Colfax"
108,1110,000800,000800,"Sun Valley"
872,4928,000904,000904,"Villa Park"
1276,2958,000905,000905,"Villa Park"
2100,3359,001601,001601,"Five Points"
3614,5019,001602,001602,"Five Points"
3767,6018,001603,001603,"Five Points"
2571,3387,001703,001703,"Union Station"
1991,2585,001704,001704,"Union Station"
2606,3311,001705,001705,"Union Station"
1546,2516,001706,001706,CBD
1707,2242,001707,001707,CBD
1745,3192,001800,001800,"Lincoln Park"
1291,3813,001901,001901,"Lincoln Park"
2237,3586,002000,002000,"Civic Center"
2687,4548,002300,002300,Whittier
1038,1944,002402,002402,"Five Points"
879,1495,002404,002404,"Five Points"
2124,4303,002405,002405,"Five Points"
2212,2946,002602,002602,"North Capitol Hill"
1652,2682,002603,002603,"North Capitol Hill"
1328,2067,002604,002604,"North Capitol Hill"
1413,1948,002704,002704,"Capitol Hill"
1910,2743,002705,002705,"Capitol Hill"
2941,3308,002706,002706,"Capitol Hill"
2234,3311,002707,002707,"Capitol Hill"
2057,2584,002708,002708,"Capitol Hill"
1654,2448,002709,002709,"Capitol Hill"
1086,1676,003101,003101,"City Park West"
2698,4028,003102,003102,"City Park West"
2707,3277,003202,003202,"Cheesman Park"
1909,2174,003204,003204,"Cheesman Park"
2862,3180,003205,003205,"Cheesman Park"
2761,3271,003300,003300,"Congress Park"
1717,3501,003603,003603,Skyland
2916,3782,003701,003701,"City Park"
3952,5037,003702,003702,"Congress Park"
1984,3054,003703,003703,"Congress Park"
3747,6236,004103,004103,"North Park Hill"
2222,4897,004104,004104,"North Park Hill"
6231,8364,004108,004108,Stapleton
1255,3294,004109,004109,Stapleton
3306,4965,004110,004110,Stapleton
4381,6742,004111,004111,Stapleton
3965,6075,004112,004112,Stapleton
1358,1937,004113,004113,Stapleton
3411,4476,004201,004201,"South Park Hill"
3187,4533,004202,004202,"South Park Hill"
2109,3002,004302,004302,Hale
3820,4920,004306,004306,"Lowry Field"
1647,2251,004307,004307,Hale
2400,3775,004308,004308,Hale
2678,3998,004309,004309,Montclair
1640,2112,004310,004310,Montclair
1837,3965,004403,004403,"East Colfax"
2200,5961,004404,004404,"East Colfax"
2932,3823,004406,004406,"Lowry Field"
3790,5830,004407,004407,"Lowry Field"
474,740,980200,980200,Auraria
