B25064_001E,tract,TRACTCE,nbhd_name
2059,000501,000501,"Sloan Lake"
596,000503,000503,"Sloan Lake"
1640,000504,000504,"Sloan Lake"
1582,000600,000600,"Jefferson Park"
1480,000703,000703,"West Colfax"
1699,000704,000704,"West Colfax"
1289,000705,000705,"West Colfax"
1714,000706,000706,"West Colfax"
272,000800,000800,"Sun Valley"
1256,000904,000904,"Villa Park"
1841,000905,000905,"Villa Park"
2374,001601,001601,"Five Points"
1923,001602,001602,"Five Points"
1812,001603,001603,"Five Points"
2430,001703,001703,"Union Station"
1434,001704,001704,"Union Station"
2426,001705,001705,"Union Station"
1793,001706,001706,CBD
1810,001707,001707,CBD
1392,001800,001800,"Lincoln Park"
1519,001901,001901,"Lincoln Park"
2248,002000,002000,"Civic Center"
992,002300,002300,Whittier
1154,002402,002402,"Five Points"
-666666666,002404,002404,"Five Points"
1671,002405,002405,"Five Points"
1836,002602,002602,"North Capitol Hill"
1918,002603,002603,"North Capitol Hill"
1147,002604,002604,"North Capitol Hill"
1201,002704,002704,"Capitol Hill"
1479,002705,002705,"Capitol Hill"
1651,002706,002706,"Capitol Hill"
1553,002707,002707,"Capitol Hill"
1239,002708,002708,"Capitol Hill"
1391,002709,002709,"Capitol Hill"
1566,003101,003101,"City Park West"
1251,003102,003102,"City Park West"
1554,003202,003202,"Cheesman Park"
1420,003204,003204,"Cheesman Park"
1433,003205,003205,"Cheesman Park"
1809,003300,003300,"Congress Park"
1846,003603,003603,Skyland
1529,003701,003701,"City Park"
1422,003702,003702,"Congress Park"
1432,003703,003703,"Congress Park"
2261,004103,004103,"North Park Hill"
2383,004104,004104,"North Park Hill"
1859,004108,004108,Stapleton
-666666666,004109,004109,Stapleton
1641,004110,004110,Stapleton
1976,004111,004111,Stapleton
2038,004112,004112,Stapleton
1928,004113,004113,Stapleton
1481,004201,004201,"South Park Hill"
1889,004202,004202,"South Park Hill"
1244,004302,004302,Hale
1929,004306,004306,"Lowry Field"
1217,004307,004307,Hale
1623,004308,004308,Hale
1596,004309,004309,Montclair
2369,004310,004310,Montclair
1641,004403,004403,"East Colfax"
1334,004404,004404,"East Colfax"
1751,004406,004406,"Lowry Field"
1889,004407,004407,"Lowry Field"
-666666666,980200,980200,Auraria
