"NAME","B25071_001E","state","county","tract"
"Census Tract 1.02 Denver County Colorado","22.2","08","031","000102"
"Census Tract 2.01 Denver County Colorado","35.3","08","031","000201"
"Census Tract 2.02 Denver County Colorado","28.7","08","031","000202"
"Census Tract 3.01 Denver County Colorado","24.9","08","031","000301"
"Census Tract 3.02 Denver County Colorado","28.0","08","031","000302"
"Census Tract 3.03 Denver County Colorado","24.5","08","031","000303"
"Census Tract 4.01 Denver County Colorado","26.7","08","031","000401"
"Census Tract 4.03 Denver County Colorado","24.1","08","031","000403"
"Census Tract 4.04 Denver County Colorado","27.0","08","031","000404"
"Census Tract 5.01 Denver County Colorado","22.6","08","031","000501"
"Census Tract 5.03 Denver County Colorado","27.8","08","031","000503"
"Census Tract 5.04 Denver County Colorado","30.7","08","031","000504"
"Census Tract 6 Denver County Colorado","24.9","08","031","000600"
"Census Tract 7.03 Denver County Colorado","29.5","08","031","000703"
"Census Tract 7.04 Denver County Colorado","21.7","08","031","000704"
"Census Tract 7.05 Denver County Colorado","40.6","08","031","000705"
"Census Tract 7.06 Denver County Colorado","27.4","08","031","000706"
"Census Tract 8 Denver County Colorado","15.9","08","031","000800"
"Census Tract 9.02 Denver County Colorado","51.0","08","031","000902"
"Census Tract 9.03 Denver County Colorado","38.6","08","031","000903"
"Census Tract 9.04 Denver County Colorado","36.0","08","031","000904"
"Census Tract 9.05 Denver County Colorado","29.4","08","031","000905"
"Census Tract 10 Denver County Colorado","31.1","08","031","001000"
"Census Tract 11.01 Denver County Colorado","20.6","08","031","001101"
"Census Tract 11.02 Denver County Colorado","24.5","08","031","001102"
"Census Tract 13.01 Denver County Colorado","32.5","08","031","001301"
"Census Tract 13.02 Denver County Colorado","45.7","08","031","001302"
"Census Tract 14.01 Denver County Colorado","30.5","08","031","001401"
"Census Tract 14.02 Denver County Colorado","34.2","08","031","001402"
"Census Tract 14.03 Denver County Colorado","29.4","08","031","001403"
"Census Tract 15 Denver County Colorado","36.4","08","031","001500"
"Census Tract 16.01 Denver County Colorado","29.9","08","031","001601"
"Census Tract 16.02 Denver County Colorado","23.9","08","031","001602"
